Habitaciones;Banos;Parqueaderos;Area_construida;Area_privada;Estrato;Estado;Anos;Administracion;Ascensor;Circuito_cerrado;Parqueadero_visitantes;Porteria;Zonas_verdes;Salon_comunal;Balcon;Barra_americana;Calentador;Chimenea;Citofono;Cocina_integral;Terraza;Vigilancia;Parques_cercanos;Estudio;Patio;Deposito;Tipo;Precio
3;2;1;72;67;3;No definida;0;300000;1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;425000000
3;2;1;78;0;5;Excelente;0;300000;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;Apartamento;510000000
3;2;2;97;0;5;Excelente;0;300000;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;Apartamento;670000000
3;2;2;97;0;5;Excelente;0;300000;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;Apartamento;670000000
3;2;0;83;83;4;No definida;0;300000;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;Apartamento;430000000
1;1;1;64;56;5;No definida;0;300000;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;Apartamento;492000000
1;1;1;38;38;4;Excelente;0;320000;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;Apartamento;320000000
1;1;1;38;38;4;Excelente;0;320000;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;Apartamento;320000000
3;2;2;99;99;5;Bueno;0;321000;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;Apartamento;910000000
3;3;1;107;0;4;Excelente;0;323000;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;Apartamento;510000000
3;2;1;69;0;4;Excelente;0;328000;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;390000000
3;2;1;69;0;4;Excelente;0;328000;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;390000000
3;2;1;69;0;4;Excelente;0;328000;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;390000000
3;2;1;104;104;4;No definida;0;350000;0;0;1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;Apartamento;785515440
2;2;2;89;89;5;Excelente;0;350000;1;0;1;1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;Apartamento;697000000
1;1;1;38;0;3;Excelente;0;354000;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;Apartamento;295000000
3;2;2;103;0;4;Excelente;0;370000;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;620000000
2;2;1;58,36;0;3;No definida;0;380000;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;Apartamento;345000000
1;2;1;58;58;5;No definida;0;380000;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;390000000
2;2;2;80;80;5;Excelente;0;381200;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;Apartamento;730000000
2;2;1;61;0;3;Excelente;0;390000;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;Apartamento;290000000
2;3;1;67;59;4;No definida;0;394000;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Apartamento;550000000
2;3;1;67;59;4;No definida;0;394000;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Apartamento;550000000
3;2;3;130;0;4;Excelente;0;400000;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;880000000
3;2;3;130;0;4;Excelente;0;400000;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;880000000
2;2;2;80;0;5;Excelente;0;400000;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;730000000
1;2;1;50;50;6;Bueno;0;405000;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;425000000
1;2;1;65;65;6;Bueno;0;408000;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;Apartamento;535000000
3;2;1;72;0;3;Excelente;0;413000;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;Apartamento;380000000
2;2;2;94,26;89;5;Excelente;0;417400;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;830000000
2;2;2;70;61;4;No definida;0;420000;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;520000000
1;2;1;56;56;5;No definida;0;424000;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;Apartamento;438000000
2;2;1;67;67;4;Bueno;0;430000;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;530000000
3;3;2;87;87;4;Bueno;0;450000;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;Apartamento;719999999
3;2;1;87;87;5;Excelente;0;461100;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;Apartamento;769000000
3;2;1;87;87;5;Excelente;0;461100;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;Apartamento;769000000
2;2;1;63;59;5;Excelente;0;470000;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;645000000
2;2;1;63;59;5;Excelente;0;470000;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;645000000
2;2;2;79;74;5;Excelente;0;470000;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;Apartamento;530000000
2;2;1;63;63;5;No definida;0;480000;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;645000000
2;2;1;63;63;5;No definida;0;480000;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;645000000
2;2;1;63;63;5;No definida;0;480000;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;645000000
4;4;2;160;0;6;Excelente;0;490000;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;1180000000
3;3;2;118;106;5;No definida;0;510000;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;1300000000
1;2;1;55;55;6;Bueno;0;523250;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Apartamento;517000000
2;3;2;94;94;4;Excelente;0;530000;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;550000000
2;3;2;94;94;4;Excelente;0;530000;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;550000000
3;4;2;147;0;4;No definida;0;570000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;1195000000
3;4;2;147;0;4;No definida;0;570000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;1195000000
2;2;1;65;65;6;Bueno;0;594412;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Apartamento;627000000
2;2;1;65;65;6;Bueno;0;594412;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Apartamento;623000000
4;5;1;149;149;5;No definida;0;600000;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;1181000000
2;3;1;74;74;5;No definida;0;600000;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;536237000
2;3;1;78;78;5;No definida;0;600000;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;616100000
3;2;2;83;83;4;No definida;0;660000;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;1;Apartamento;650000000
3;4;2;190;0;6;Excelente;0;661000;1;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;Apartamento;1480000000
3;4;2;190;0;6;Excelente;0;661000;1;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;Apartamento;1480000000
3;2;2;68;65;5;No definida;0;670000;1;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;Apartamento;510000000
2;3;2;134;120;5;No definida;0;700000;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;1020000000
3;4;2;210;199;6;No definida;0;900000;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;1400000000
4;6;3;158;145;6;Excelente;0;1087000;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;1550000000
3;4;2;158;158;6;Bueno;0;1135000;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;Apartamento;1400000000
3;4;2;158;158;6;Bueno;0;1135000;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;Apartamento;1400000000
